recipe_name,ingredient_quantity,ingredient_unit,component_name,optional,substitution,category_name,recipe_directions
Ward 8,2,oz,rye whiskey,,,whiskey,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Ward 8,0.75,oz,lemon,,,citrus,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Ward 8,0.5,oz,simple syrup,,,sugars and syrups,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Ward 8,0.25,oz,grenadine,,,sugars and syrups,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Ward 8,0.5,wheel,orange,,,citrus,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Ward 8,0.5,wheel,lemon,,,citrus,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Ward 8,1,,maraschino cherry,TRUE,,garnish,"Shake with ice and strain into red wine glass filled with ice. Garnish with orange, lemon, and cherry. Serve with straws."
Manhattan,2,oz,rye whiskey,,bourbon whiskey,whiskey,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Manhattan,0.5,oz,sweet vermouth,,,wines,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Manhattan,1,dash,Angustora bitters,,,bitters,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Manhattan,1,,maraschino cherry,TRUE,,garnish,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.
Old-Fashioned Cocktail,2,oz,rye whiskey,,bourbon whiskey,whiskey,"Pour whiskey, syrup and bitters into cracked ice filled old-fashioned glass and stir. Garnish with orange and cherry."
Old-Fashioned Cocktail,0.25,oz,simple syrup,,,sugars and syrups,"Pour whiskey, syrup and bitters into cracked ice filled old-fashioned glass and stir. Garnish with orange and cherry."
Old-Fashioned Cocktail,2,dashes,Angustora bitters,,orange bitters,bitters,"Pour whiskey, syrup and bitters into cracked ice filled old-fashioned glass and stir. Garnish with orange and cherry."
Old-Fashioned Cocktail,1,wheel,orange,,,citrus,"Pour whiskey, syrup and bitters into cracked ice filled old-fashioned glass and stir. Garnish with orange and cherry."
Old-Fashioned Cocktail,1,,Italian preserved cherry,TRUE,,garnish,"Pour whiskey, syrup and bitters into cracked ice filled old-fashioned glass and stir. Garnish with orange and cherry."
1626,2.5,oz,bourbon whiskey,,,whiskey,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
1626,0.75,oz,gingerbread liqueur,,,cordials and liqueurs,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
1626,0.5,tsp,cherry-flavored brandy,,,cordials and liqueurs,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
1626,2,dashes,Angustora bitters,,,bitters,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
1626,1,,Italian preserved cherry,,,garnish,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
19th Century,1.5,oz,bourbon whiskey,,,whiskey,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
19th Century,0.75,oz,lemon,,,citrus,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
19th Century,0.75,oz,creme de cacao,,,cordials and liqueurs,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
19th Century,0.75,oz,Lillet Rouge,,,cordials and liqueurs,Shake well with ice and strain into chilled cocktail glass.  Garnish with cherry.
Academic Review,1.5,oz,irish whiskey,,,whiskey,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Academic Review,0.5,oz,applejack,,,lesser spirits,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Academic Review,0.5,oz,Amaro Nonino,,,cordials and liqueurs,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Academic Review,0.25,oz,Demerera Syrup,,,sugars and syrups,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Academic Review,2,dashes,mole bitters,,,bitters,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Academic Review,1,dash,orange bitters,,,bitters,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Academic Review,1,twist,orange,,,citrus,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Adderly Cocktail,2,oz,straight rye whiskey,,,whiskey,Shake with ice and strain into cocktail glass.  Flame orange twist and add.
Adderly Cocktail,0.75,oz,maraschino liqueur,,,cordials and liqueurs,Shake with ice and strain into cocktail glass.  Flame orange twist and add.
Adderly Cocktail,0.75,oz,lemon,,,citrus,Shake with ice and strain into cocktail glass.  Flame orange twist and add.
Adderly Cocktail,2,dashes,orange bitters,,,bitters,Shake with ice and strain into cocktail glass.  Flame orange twist and add.
Adderly Cocktail,1,twist,orange,,,citrus,Shake with ice and strain into cocktail glass.  Flame orange twist and add.
Affinity Cocktail,1,oz,blended scotch whiskey,,,whiskey,Stir with ice and strain into chilled cocktail glass.
Affinity Cocktail,1,oz,dry vermouth,,,wines,Stir with ice and strain into chilled cocktail glass.
Affinity Cocktail,1,oz,sweet vermouth,,,wines,Stir with ice and strain into chilled cocktail glass.
Affinity Cocktail,3,dashes,orange bitters,,,bitters,Stir with ice and strain into chilled cocktail glass.
Allegheny,1,oz,bourbon whiskey,,,whiskey,Shake with ice and strain into chilled cocktail glass.  Add lemon twist.
Allegheny,1,oz,dry vermouth,,,wines,Shake with ice and strain into chilled cocktail glass.  Add lemon twist.
Allegheny,0.5,oz,blackberry-flavored brandy,,,cordials and liqueurs,Shake with ice and strain into chilled cocktail glass.  Add lemon twist.
Allegheny,0.5,oz,lemon,,,citrus,Shake with ice and strain into chilled cocktail glass.  Add lemon twist.
Allegheny,1,twist,lemon,,,citrus,Shake with ice and strain into chilled cocktail glass.  Add lemon twist.
American Trilogy,1,,brown sugar cube,,,sugars and syrups,"Muddle sugar cube in mixer glass.  Add whiskey, applejack and ice.  Stir and strain into chilled old-fashioned glass.  Add orange twist."
American Trilogy,1,oz,straight rye whiskey,,,whiskey,"Muddle sugar cube in mixer glass.  Add whiskey, applejack and ice.  Stir and strain into chilled old-fashioned glass.  Add orange twist."
American Trilogy,1,oz,applejack,,,lesser spirits,"Muddle sugar cube in mixer glass.  Add whiskey, applejack and ice.  Stir and strain into chilled old-fashioned glass.  Add orange twist."
American Trilogy,1,twist,orange,,,citrus,"Muddle sugar cube in mixer glass.  Add whiskey, applejack and ice.  Stir and strain into chilled old-fashioned glass.  Add orange twist."
Autumn Leaves,0.75,oz,straight rye whiskey,,,whiskey,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Autumn Leaves,0.75,oz,apple brandy,,,lesser spirits,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Autumn Leaves,0.75,oz,sweet vermouth,,,wines,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Autumn Leaves,0.25,oz,strega,,Benedictine,cordials and liqueurs,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Autumn Leaves,2,dashes,Angustora bitters,,,bitters,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Autumn Leaves,1,twist,orange,,,citrus,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.
Basin Street,2,oz,bourbon whiskey,,,whiskey,Shake well with ice and strain into chilled cocktail glass.
Basin Street,0.75,oz,triple sec,,,cordials and liqueurs,Shake well with ice and strain into chilled cocktail glass.
Basin Street,0.75,oz,lemon,,,citrus,Shake well with ice and strain into chilled cocktail glass.
Beals Cocktail,1.5,oz,blended scotch whiskey,,,whiskey,Stir with ice and strain into chilled cocktail glass.
Beals Cocktail,0.5,oz,dry vermouth,,,wines,Stir with ice and strain into chilled cocktail glass.
Beals Cocktail,0.5,oz,sweet vermouth,,,wines,Stir with ice and strain into chilled cocktail glass.
Black Hawk,1.5,oz,bourbon whiskey,,,whiskey,Stir with ice and strain into chilled cocktail glass.  Garnish with cherry.
Black Hawk,1.5,oz,sloe gin,,,lesser spirits,Stir with ice and strain into chilled cocktail glass.  Garnish with cherry.
Black Hawk,1,,maraschino cherry,,,garnish,Stir with ice and strain into chilled cocktail glass.  Garnish with cherry.
Blarney Stone Cocktail,2,oz,irish whiskey,,,whiskey,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blarney Stone Cocktail,0.5,oz,anisette,,,cordials and liqueurs,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blarney Stone Cocktail,0.5,oz,triple sec,,,cordials and liqueurs,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blarney Stone Cocktail,0.5,oz,maraschino liqueur,,,cordials and liqueurs,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blarney Stone Cocktail,1,dash,Angustora bitters,,,bitters,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blarney Stone Cocktail,1,twist,orange,,,citrus,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blarney Stone Cocktail,1,,green olive,,,garnish,Shake with ice and strain into chilled cocktail glass.  Add orange twist and olive.
Blood and Sand,0.5,oz,blended scotch whiskey,,,whiskey,Shake with ice and strain into chilled cocktail glass.
Blood and Sand,0.5,oz,cherry-flavored brandy,,,cordials and liqueurs,Shake with ice and strain into chilled cocktail glass.
Blood and Sand,0.5,oz,sweet vermouth,,,wines,Shake with ice and strain into chilled cocktail glass.
Blood and Sand,0.5,oz,orange,,,citrus,Shake with ice and strain into chilled cocktail glass.
Bobby Burns Cocktail,1.5,oz,blended scotch whiskey,,,whiskey,Stir with ice and strain into chilled cocktail glass.  Add lemon twist.
Bobby Burns Cocktail,1.5,oz,sweet vermouth,,,wines,Stir with ice and strain into chilled cocktail glass.  Add lemon twist.
Bobby Burns Cocktail,1,tsp,Benedictine,,,cordials and liqueurs,Stir with ice and strain into chilled cocktail glass.  Add lemon twist.
Bobby Burns Cocktail,1,twist,lemon,,,citrus,Stir with ice and strain into chilled cocktail glass.  Add lemon twist.
Bourbon A La Creme,2,oz,bourbon whiskey,,,whiskey,Stir ingredients with ice.  Strain into chilled old-fashioned glass.
Bourbon A La Creme,1,oz,dark creme de cacao,,,cordials and liqueurs,Stir ingredients with ice.  Strain into chilled old-fashioned glass.
Bourbon A La Creme,0.5,oz,vanilla liqueur,,,cordials and liqueurs,Stir ingredients with ice.  Strain into chilled old-fashioned glass.
Bourbon and Elder,2,oz,bourbon whiskey,,,whiskey,Stir with ice and strain into chilled old-fashioned glass.  Add lemon twist.
Bourbon and Elder,0.75,oz,elderflower liqueur,,,cordials and liqueurs,Stir with ice and strain into chilled old-fashioned glass.  Add lemon twist.
Bourbon and Elder,1,dash,Angustora bitters,,,bitters,Stir with ice and strain into chilled old-fashioned glass.  Add lemon twist.
